"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1037","Hootel Login","test","Tue Nov 04 11:43:44 UTC 2025","passed","Tue Nov 04 11:43:45 UTC 2025","TestHootel","test_hootel","",""
"","1089","test_hotel_list","test","Tue Nov 04 11:43:47 UTC 2025","passed","Tue Nov 04 11:43:48 UTC 2025","TestHootel","test_hootel","",""
